marka,model,yil,km,vites,yakit,motor,kasa,hasar,fiyat
Renault,Talisman,2019,149998,manuel,dizel,1.3,sedan,var,1451246
BMW,M4,2019,136541,otomatik,dizel,1.3,suv,yok,805418
BMW,116i,2020,132069,manuel,benzin,1.6,sedan,yok,864774
Hyundai,Tucson,2023,114977,otomatik,dizel,1.5,sedan,var,753917
Ford,Focus,2018,129549,otomatik,benzin,1.3,hatchback,yok,1259470
Hyundai,i10,2023,166481,otomatik,benzin,2.0,sedan,var,591458
Mercedes,C180,2017,167139,otomatik,benzin,1.0,suv,var,100000
Mercedes,CLA200,2023,100381,otomatik,benzin,1.0,suv,var,856318
Honda,HR-V,2016,54627,otomatik,dizel,1.0,hatchback,var,1318739
Renault,Captur,2016,193422,manuel,benzin,1.6,suv,yok,546908
Hyundai,Tucson,2022,29037,otomatik,benzin,1.6,hatchback,yok,336661
Honda,Accord,2016,166459,otomatik,benzin,1.6,suv,yok,168497
Audi,Q7,2019,132761,otomatik,benzin,1.0,sedan,yok,100000
Ford,Mondeo,2022,53257,otomatik,dizel,1.3,hatchback,var,1084328
BMW,116i,2018,112806,otomatik,hybrid,1.6,suv,yok,1442624
Fiat,500X,2020,20285,otomatik,benzin,2.0,sedan,var,1433428
Mercedes,E250,2020,173110,otomatik,benzin,1.0,sedan,var,1085520
Ford,Fiesta,2021,112024,otomatik,dizel,1.5,suv,yok,614724
BMW,M4,2021,53203,manuel,dizel,1.6,suv,yok,969331
Toyota,Corolla,2019,27316,otomatik,hybrid,1.3,sedan,var,182563
Volkswagen,Arteon,2016,158631,otomatik,benzin,1.3,hatchback,yok,1568062
Audi,Q7,2016,6178,otomatik,benzin,1.6,sedan,yok,100000
Renault,Megane,2017,197305,otomatik,benzin,2.0,hatchback,yok,1205330
Volkswagen,Polo,2020,124696,otomatik,dizel,1.0,sedan,yok,170566
Hyundai,Kona,2020,181062,otomatik,dizel,1.6,suv,yok,740794
Renault,Talisman,2023,94166,otomatik,dizel,1.4,sedan,var,742422
